256, 15, 0.005307117747741269, 0.0032799407645743724, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 13, 8, 6
260, 15, 0.005307117747741269, 0.0032799407645743724, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 9, 0, 4, 5, 13, 8, 6
264, 15, 0.005307117747741269, 0.004702325198917804, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 10, 3, 0, 9, 4, 5, 8, 13, 6
268, 15, 0.005307117747741269, 0.003328469111881883, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 9, 0, 4, 5, 8, 13, 6
272, 15, 0.005307117747741269, 0.003558264992049217, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 9, 5, 4, 8, 13, 6
276, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
280, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
284, 15, 0.005307117747741269, 0.004610585984935387, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 10, 3, 0, 9, 4, 5, 8, 13, 6
288, 15, 0.005307117747741269, 0.003545909086220609, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 0, 9, 5, 4, 8, 13, 6
292, 15, 0.005307117747741269, 0.003558264992049217, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 9, 5, 4, 8, 13, 6
296, 15, 0.005307117747741269, 0.005135483286487042, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 7, 1, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 13, 6
300, 15, 0.005307117747741269, 0.003328469111881883, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 11, 12, 3, 10, 9, 0, 4, 5, 8, 13, 6
304, 15, 0.005307117747741269, 0.005135483286487042, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 7, 1, 14, 11, 12, 3, 10, 0, 9, 4, 5, 8, 13, 6
308, 15, 0.005307117747741269, 0.005020867342232748, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 7, 1, 14, 12, 11, 3, 10, 0, 9, 4, 5, 13, 8, 6
312, 15, 0.005307117747741269, 0.005020867342232748, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 7, 1, 14, 12, 11, 3, 10, 0, 9, 4, 5, 13, 8, 6
316, 15, 0.005307117747741269, 0.0047466274677214525, 2, 1, 7, 14, 11, 3, 12, 10, 0, 9, 4, 5, 8, 13, 6, 2, 1, 7, 14, 12, 11, 3, 10, 0, 4, 9, 5, 8, 13, 6
